"File","Line","Pattern","Content"
"src\model_loader\model_loader.hpp","19","Q_OBJECT","Q_OBJECT"
"src\orchestration\agent_coordinator.hpp","30","Q_OBJECT","Q_OBJECT"
"src\orchestration\llm_router.hpp","97","Q_OBJECT","Q_OBJECT"
"src\orchestration\voice_processor.hpp","33","Q_OBJECT","Q_OBJECT"
"src\paint\paint_app.h","10","Q_OBJECT","Q_OBJECT"
"src\qtapp\utils\qt_directory_manager.h","23","Q_OBJECT","Q_OBJECT"
"src\qtapp\utils\qt_file_writer.h","24","Q_OBJECT","Q_OBJECT"
"src\qtapp\utils\settings_manager.h","40","Q_OBJECT","Q_OBJECT"
"src\qtapp\utils\shortcut_manager.h","31","Q_OBJECT","Q_OBJECT"
"src\qtapp\widgets\find_widget.h","62","Q_OBJECT","Q_OBJECT"
"src\qtapp\widgets\hotpatch_panel.h","19","Q_OBJECT","Q_OBJECT"
"src\qtapp\widgets\layer_quant_widget.hpp","22","Q_OBJECT","Q_OBJECT"
"src\qtapp\widgets\masm_editor_widget.h","27","Q_OBJECT","Q_OBJECT"
"src\qtapp\widgets\masm_editor_widget.h","62","Q_OBJECT","Q_OBJECT"
"src\qtapp\widgets\masm_editor_widget.h","79","Q_OBJECT","Q_OBJECT"
"src\qtapp\widgets\multi_file_search.h","69","Q_OBJECT","Q_OBJECT"
"src\qtapp\widgets\OverlayWidget.hpp","28","Q_OBJECT","Q_OBJECT"
"src\qtapp\widgets\project_explorer.h","60","Q_OBJECT","Q_OBJECT"
"src\qtapp\widgets\settings_dialog.h","31","Q_OBJECT","Q_OBJECT"
"src\qtapp\widgets\settings_dialog.h","53","Q_OBJECT","Q_OBJECT"
"src\qtapp\widgets\settings_dialog.h","89","Q_OBJECT","Q_OBJECT"
"src\qtapp\widgets\settings_dialog.h","118","Q_OBJECT","Q_OBJECT"
"src\qtapp\widgets\settings_dialog.h","151","Q_OBJECT","Q_OBJECT"
"src\qtapp\widgets\settings_dialog.h","173","Q_OBJECT","Q_OBJECT"
"src\qtapp\widgets\settings_dialog.h","202","Q_OBJECT","Q_OBJECT"
"src\qtapp\widgets\version_control_widget.h","49","Q_OBJECT","Q_OBJECT"
"src\qtapp\ActivityBar.h","23","Q_OBJECT","Q_OBJECT"
"src\qtapp\ActivityBarButton.h","13","Q_OBJECT","Q_OBJECT"
"src\qtapp\advanced_checkpoint_manager.h","13","Q_OBJECT","Q_OBJECT"
"src\qtapp\agent_mode_handler.hpp","53","Q_OBJECT","Q_OBJECT"
"src\qtapp\agentic_copilot_bridge.h","34","Q_OBJECT","Q_OBJECT"
"src\qtapp\agentic_engine.h","25","Q_OBJECT","Q_OBJECT"
"src\qtapp\agentic_executor.h","31","Q_OBJECT","Q_OBJECT"
"src\qtapp\agentic_failure_detector.hpp","45","Q_OBJECT","Q_OBJECT"
"src\qtapp\agentic_puppeteer.hpp","41","Q_OBJECT","Q_OBJECT"
"src\qtapp\agentic_puppeteer.hpp","145","Q_OBJECT","Q_OBJECT"
"src\qtapp\agentic_puppeteer.hpp","163","Q_OBJECT","Q_OBJECT"
"src\qtapp\agentic_puppeteer.hpp","181","Q_OBJECT","Q_OBJECT"
"src\qtapp\agentic_text_edit.h","31","Q_OBJECT","Q_OBJECT"
"src\qtapp\ai_chat_panel.hpp","24","Q_OBJECT","Q_OBJECT"
"src\qtapp\ai_code_assistant_panel.h","27","Q_OBJECT","Q_OBJECT"
"src\qtapp\ai_code_assistant.h","27","Q_OBJECT","Q_OBJECT"
"src\qtapp\ai_completion_provider.h","45","Q_OBJECT","Q_OBJECT"
"src\qtapp\ai_switcher.hpp","17","Q_OBJECT","Q_OBJECT"
"src\qtapp\ask_mode_handler.hpp","39","Q_OBJECT","Q_OBJECT"
"src\qtapp\byte_level_hotpatcher.hpp","70","Q_OBJECT","Q_OBJECT"
"src\qtapp\chat_interface.h","20","Q_OBJECT","Q_OBJECT"
"src\qtapp\chat_workspace.h","7","Q_OBJECT","Q_OBJECT"
"src\qtapp\ci_pipeline_manager.h","12","Q_OBJECT","Q_OBJECT"
"src\qtapp\command_palette.hpp","24","Q_OBJECT","Q_OBJECT"
"src\qtapp\compliance_logger_NUCLEAR.hpp","7","Q_OBJECT","Q_OBJECT"
"src\qtapp\compliance_logger_SIMPLE.hpp","6","Q_OBJECT","Q_OBJECT"
"src\qtapp\compliance_logger_TEMPLATE.hpp","22","Q_OBJECT","Q_OBJECT"
"src\qtapp\compliance_logger_TEST.hpp","7","Q_OBJECT","Q_OBJECT"
"src\qtapp\compliance_logger_TEST2.hpp","7","Q_OBJECT","Q_OBJECT"
"src\qtapp\compliance_logger.hpp","15","Q_OBJECT","Q_OBJECT"
"src\qtapp\distributed_trainer.h","11","Q_OBJECT","Q_OBJECT"
"src\qtapp\file_browser.h","11","Q_OBJECT","Q_OBJECT"
"src\qtapp\gguf_server_hotpatch.hpp","55","Q_OBJECT","Q_OBJECT"
"src\qtapp\gguf_server.hpp","30","Q_OBJECT","Q_OBJECT"
"src\qtapp\ghost_text_renderer.h","58","Q_OBJECT","Q_OBJECT"
"src\qtapp\gpu_backend.hpp","25","Q_OBJECT","Q_OBJECT"
"src\qtapp\hardware_backend_selector.h","31","Q_OBJECT","Q_OBJECT"
"src\qtapp\health_check_server.hpp","33","Q_OBJECT","Q_OBJECT"
"src\qtapp\inference_engine.hpp","20","Q_OBJECT","Q_OBJECT"
"src\qtapp\interpretability_panel_enhanced.hpp","34","Q_OBJECT","Q_OBJECT"
"src\qtapp\interpretability_panel_production.hpp","67","Q_OBJECT","Q_OBJECT"
"src\qtapp\interpretability_panel.h","15","Q_OBJECT","Q_OBJECT"
"src\qtapp\layer_quant_widget.hpp","16","Q_OBJECT","Q_OBJECT"
"src\qtapp\MainWindow_v5.cpp","28","Q_OBJECT","// ALL Q_OBJECT Headers - MUST be included to force AUTOMOC processing"
"src\qtapp\MainWindow_v5.h","47","Q_OBJECT","Q_OBJECT"
"src\qtapp\MainWindow_ViewToggleConnections.h","42","Q_OBJECT","Q_OBJECT"
"src\qtapp\MainWindow_ViewToggleConnections.h","246","Q_OBJECT","Q_OBJECT"
"src\qtapp\MainWindow.h","124","Q_OBJECT","Q_OBJECT"
"src\qtapp\MainWindowMinimal.h","6","Q_OBJECT","Q_OBJECT"
"src\qtapp\metrics_collector.hpp","22","Q_OBJECT","Q_OBJECT"
"src\qtapp\MinimalWindow.h","6","Q_OBJECT","Q_OBJECT"
"src\qtapp\model_memory_hotpatch.hpp","100","Q_OBJECT","Q_OBJECT"
"src\qtapp\model_monitor.hpp","19","Q_OBJECT","Q_OBJECT"
"src\qtapp\model_queue.hpp","25","Q_OBJECT","Q_OBJECT"
"src\qtapp\model_registry.h","50","Q_OBJECT","Q_OBJECT"
"src\qtapp\model_trainer.h","39","Q_OBJECT","Q_OBJECT"
"src\qtapp\multi_file_search.h","79","Q_OBJECT","Q_OBJECT"
"src\qtapp\multi_tab_editor.h","15","Q_OBJECT","Q_OBJECT"
"src\qtapp\observability_dashboard.h","34","Q_OBJECT","Q_OBJECT"
"src\qtapp\ollama_hotpatch_proxy.hpp","51","Q_OBJECT","Q_OBJECT"
"src\qtapp\ollama_proxy.h","22","Q_OBJECT","Q_OBJECT"
"src\qtapp\plan_mode_handler.hpp","57","Q_OBJECT","Q_OBJECT"
"src\qtapp\plan_orchestrator.h","74","Q_OBJECT","Q_OBJECT"
"src\qtapp\planning_agent.h","17","Q_OBJECT","Q_OBJECT"
"src\qtapp\production_integration_test.cpp","30","Q_OBJECT","Q_OBJECT"
"src\qtapp\profiler.h","29","Q_OBJECT","Q_OBJECT"
"src\qtapp\proxy_hotpatcher.hpp","75","Q_OBJECT","Q_OBJECT"
"src\qtapp\RawrXDMainWindow.h","7","Q_OBJECT","Q_OBJECT"
"src\qtapp\scalar_server.h","14","Q_OBJECT","Q_OBJECT"
"src\qtapp\security_manager.h","32","Q_OBJECT","Q_OBJECT"
"src\qtapp\settings_dialog.h","23","Q_OBJECT","Q_OBJECT"
"src\qtapp\settings_manager.h","11","Q_OBJECT","Q_OBJECT"
"src\qtapp\sla_manager.hpp","26","Q_OBJECT","Q_OBJECT"
"src\qtapp\streaming_inference_api.hpp","20","Q_OBJECT","Q_OBJECT"
"src\qtapp\streaming_inference.hpp","14","Q_OBJECT","Q_OBJECT"
"src\qtapp\StreamingGGUFLoader.hpp","50","Q_OBJECT","Q_OBJECT"
"src\qtapp\Subsystems_Production.h","50","Q_OBJECT","Q_OBJECT"
"src\qtapp\Subsystems_Production.h","102","Q_OBJECT","Q_OBJECT"
"src\qtapp\Subsystems_Production.h","131","Q_OBJECT","Q_OBJECT"
"src\qtapp\Subsystems_Production.h","168","Q_OBJECT","Q_OBJECT"
"src\qtapp\Subsystems_Production.h","205","Q_OBJECT","Q_OBJECT"
"src\qtapp\Subsystems_Production.h","242","Q_OBJECT","Q_OBJECT"
"src\qtapp\Subsystems_Production.h","272","Q_OBJECT","Q_OBJECT"
"src\qtapp\Subsystems_Production.h","311","Q_OBJECT","Q_OBJECT"
"src\qtapp\Subsystems_Production.h","344","Q_OBJECT","Q_OBJECT"
"src\qtapp\Subsystems_Production.h","372","Q_OBJECT","Q_OBJECT"
"src\qtapp\Subsystems_Production.h","403","Q_OBJECT","Q_OBJECT"
"src\qtapp\Subsystems_Production.h","435","Q_OBJECT","Q_OBJECT"
"src\qtapp\Subsystems_Production.h","476","Q_OBJECT","Q_OBJECT"
"src\qtapp\Subsystems_Production.h","512","Q_OBJECT","Q_OBJECT"
"src\qtapp\Subsystems_Production.h","541","Q_OBJECT","Q_OBJECT"
"src\qtapp\Subsystems_Production.h","576","Q_OBJECT","Q_OBJECT"
"src\qtapp\Subsystems_Production.h","619","Q_OBJECT","Q_OBJECT"
"src\qtapp\Subsystems_Production.h","659","Q_OBJECT","Q_OBJECT"
"src\qtapp\Subsystems_Production.h","674","Q_OBJECT","Q_OBJECT"
"src\qtapp\Subsystems_Production.h","688","Q_OBJECT","Q_OBJECT"
"src\qtapp\Subsystems_Production.h","713","Q_OBJECT","Q_OBJECT"
"src\qtapp\Subsystems_Production.h","738","Q_OBJECT","Q_OBJECT"
"src\qtapp\Subsystems.h","69","Q_OBJECT","class CodeLensProvider : public QObject { Q_OBJECT public: explicit CodeLensProvider(QObject* p=nullptr):QObject(p){} };"
"src\qtapp\Subsystems.h","70","Q_OBJECT","class InlayHintProvider : public QObject { Q_OBJECT public: explicit InlayHintProvider(QObject* p=nullptr):QObject(p){} "
"src\qtapp\Subsystems.h","71","Q_OBJECT","class SemanticHighlighter : public QObject { Q_OBJECT public: explicit SemanticHighlighter(QObject* p=nullptr):QObject(p"
"src\qtapp\Subsystems.h","86","Q_OBJECT","class StreamerClient : public QObject { Q_OBJECT public: explicit StreamerClient(QObject* p=nullptr):QObject(p){} };"
"src\qtapp\Subsystems.h","87","Q_OBJECT","class AgentOrchestrator : public QObject { Q_OBJECT public: explicit AgentOrchestrator(QObject* p=nullptr):QObject(p){} "
"src\qtapp\Subsystems.h","88","Q_OBJECT","class AISuggestionOverlay : public QWidget { Q_OBJECT public: explicit AISuggestionOverlay(QWidget* p=nullptr):QWidget(p"
"src\qtapp\Subsystems.h","89","Q_OBJECT","class TaskProposalWidget : public QWidget { Q_OBJECT public: explicit TaskProposalWidget(QWidget* p=nullptr):QWidget(p){"
"src\qtapp\telemetry.h","34","Q_OBJECT","Q_OBJECT"
"src\qtapp\TelemetryWindow.h","16","Q_OBJECT","Q_OBJECT"
"src\qtapp\terminal_pool.h","20","Q_OBJECT","Q_OBJECT"
"src\qtapp\TerminalManager.h","9","Q_OBJECT","Q_OBJECT"
"src\qtapp\TerminalWidget.h","15","Q_OBJECT","Q_OBJECT"
"src\qtapp\todo_dock.h","12","Q_OBJECT","Q_OBJECT"
"src\qtapp\todo_manager.h","19","Q_OBJECT","Q_OBJECT"
"src\qtapp\tokenizer_language_selector.h","10","Q_OBJECT","Q_OBJECT"
"src\qtapp\training_dialog.h","29","Q_OBJECT","Q_OBJECT"
"src\qtapp\training_progress_dock.h","29","Q_OBJECT","Q_OBJECT"
"src\qtapp\transformer_block_scalar.h","9","Q_OBJECT","Q_OBJECT"
"src\qtapp\unified_backend.hpp","27","Q_OBJECT","Q_OBJECT"
"src\qtapp\unified_hotpatch_manager.hpp","43","Q_OBJECT","Q_OBJECT"
"src\terminal\sandboxed_terminal.hpp","28","Q_OBJECT","Q_OBJECT"
"src\terminal\zero_retention_manager.hpp","28","Q_OBJECT","Q_OBJECT"
"src\ui\auto_model_downloader.h","24","Q_OBJECT","Q_OBJECT"
"src\ui\diff_preview_widget.h","24","Q_OBJECT","Q_OBJECT"
"src\ui\InferenceSettingsDialog.h","21","Q_OBJECT","Q_OBJECT"
"src\ui\model_download_dialog_new.h","17","Q_OBJECT","Q_OBJECT"
"src\ui\model_download_dialog.h","15","Q_OBJECT","Q_OBJECT"
"src\ui\telemetry_optin_dialog.h","14","Q_OBJECT","Q_OBJECT"
"src\utils\InferenceSettingsManager.h","23","Q_OBJECT","Q_OBJECT"
"src\agentic_copilot_bridge.h","34","Q_OBJECT","Q_OBJECT"
"src\agentic_executor.h","33","Q_OBJECT","Q_OBJECT"
"src\agentic_text_edit.h","31","Q_OBJECT","Q_OBJECT"
"src\autonomous_feature_engine.h","116","Q_OBJECT","Q_OBJECT"
"src\autonomous_intelligence_orchestrator.h","21","Q_OBJECT","Q_OBJECT"
"src\autonomous_model_manager.h","42","Q_OBJECT","Q_OBJECT"
"src\autonomous_widgets.h","17","Q_OBJECT","Q_OBJECT"
"src\autonomous_widgets.h","46","Q_OBJECT","Q_OBJECT"
"src\autonomous_widgets.h","77","Q_OBJECT","Q_OBJECT"
"src\chat_interface.h","21","Q_OBJECT","Q_OBJECT"
"src\chat_workspace.h","7","Q_OBJECT","Q_OBJECT"
"src\cloud_api_client.h","52","Q_OBJECT","Q_OBJECT"
"src\cloud_settings_dialog.h","31","Q_OBJECT","Q_OBJECT"
"src\file_browser.h","11","Q_OBJECT","Q_OBJECT"
"src\ghost_text_renderer.h","58","Q_OBJECT","Q_OBJECT"
"src\hardware_backend_selector.h","31","Q_OBJECT","Q_OBJECT"
"src\hybrid_cloud_manager.h","118","Q_OBJECT","Q_OBJECT"
"src\ide_main_window.h","44","Q_OBJECT","Q_OBJECT"
"src\intelligent_codebase_engine.h","101","Q_OBJECT","Q_OBJECT"
"src\lsp_client.h","71","Q_OBJECT","Q_OBJECT"
"src\metrics_dashboard.h","35","Q_OBJECT","Q_OBJECT"
"src\model_interface.h","45","Q_OBJECT","Q_OBJECT"
"src\model_registry.h","50","Q_OBJECT","Q_OBJECT"
"src\model_router_adapter.cpp","18","Q_OBJECT","Q_OBJECT"
"src\model_router_adapter.h","24","Q_OBJECT","Q_OBJECT"
"src\model_router_cli_test.cpp","14","Q_OBJECT","Q_OBJECT"
"src\model_router_console.h","30","Q_OBJECT","Q_OBJECT"
"src\model_router_widget.h","30","Q_OBJECT","Q_OBJECT"
"src\model_trainer.h","39","Q_OBJECT","Q_OBJECT"
"src\multi_tab_editor.h","15","Q_OBJECT","Q_OBJECT"
"src\observability_dashboard.h","34","Q_OBJECT","Q_OBJECT"
"src\performance_monitor.h","100","Q_OBJECT","Q_OBJECT"
"src\plan_orchestrator.h","74","Q_OBJECT","Q_OBJECT"
"src\planning_agent.h","17","Q_OBJECT","Q_OBJECT"
"src\profiler.h","29","Q_OBJECT","Q_OBJECT"
"src\scalar_server.h","14","Q_OBJECT","Q_OBJECT"
"src\terminal_pool.h","20","Q_OBJECT","Q_OBJECT"
"src\todo_dock.h","12","Q_OBJECT","Q_OBJECT"
"src\todo_manager.h","19","Q_OBJECT","Q_OBJECT"
"src\training_dialog.h","29","Q_OBJECT","Q_OBJECT"
"src\training_progress_dock.h","29","Q_OBJECT","Q_OBJECT"
"src\transformer_block_scalar.h","9","Q_OBJECT","Q_OBJECT"
"src\universal_model_router.h","67","Q_OBJECT","Q_OBJECT"
"include\agentic\agentic_command_executor.h","16","Q_OBJECT","Q_OBJECT"
"include\auth\enterprise_auth_manager.h","15","Q_OBJECT","Q_OBJECT"
"include\auth\jwt_validator.h","13","Q_OBJECT","Q_OBJECT"
"include\collab\crdt_buffer.h","10","Q_OBJECT","Q_OBJECT"
"include\collab\cursor_widget.h","12","Q_OBJECT","Q_OBJECT"
"include\collab\websocket_hub.h","13","Q_OBJECT","Q_OBJECT"
"include\context\BreadcrumbContextManager.h","227","Q_OBJECT","Q_OBJECT"
"include\debug\ai_debugger.h","19","Q_OBJECT","Q_OBJECT"
"include\gpu\kv_cache_optimizer.h","12","Q_OBJECT","Q_OBJECT"
"include\gpu\speculative_decoder.h","12","Q_OBJECT","Q_OBJECT"
"include\marketplace\enterprise_policy_engine.h","20","Q_OBJECT","Q_OBJECT"
"include\marketplace\extension_marketplace_manager.h","30","Q_OBJECT","Q_OBJECT"
"include\marketplace\marketplace_ui_view.h","36","Q_OBJECT","Q_OBJECT"
"include\marketplace\offline_cache_store.h","21","Q_OBJECT","Q_OBJECT"
"include\marketplace\vsix_installer.h","19","Q_OBJECT","Q_OBJECT"
"include\multimodal_engine\multimodal_engine.h","10","Q_OBJECT","Q_OBJECT"
"include\net\rate_limiter.h","12","Q_OBJECT","Q_OBJECT"
"include\orchestration\OrchestrationUI.h","25","Q_OBJECT","Q_OBJECT"
"include\orchestration\TaskOrchestrator.h","63","Q_OBJECT","Q_OBJECT"
"include\paint\paint_app.h","18","Q_OBJECT","Q_OBJECT"
"include\paint\paint_app.h","110","Q_OBJECT","Q_OBJECT"
"include\plugin_system\plugin_loader.h","13","Q_OBJECT","Q_OBJECT"
"include\sandbox\sandbox.h","11","Q_OBJECT","Q_OBJECT"
"include\telemetry\crash_handler.h","9","Q_OBJECT","Q_OBJECT"
"include\telemetry\metrics.h","13","Q_OBJECT","Q_OBJECT"
"include\agentic_controller.hpp","40","Q_OBJECT","Q_OBJECT"
"include\agentic_copilot_bridge.h","34","Q_OBJECT","Q_OBJECT"
"include\agentic_engine.h","25","Q_OBJECT","Q_OBJECT"
"include\agentic_executor.h","34","Q_OBJECT","Q_OBJECT"
"include\agentic_file_operations.h","16","Q_OBJECT","Q_OBJECT"
"include\agentic_file_operations.h","41","Q_OBJECT","Q_OBJECT"
"include\agentic_iterative_reasoning.h","36","Q_OBJECT","Q_OBJECT"
"include\agentic_memory_system.h","33","Q_OBJECT","Q_OBJECT"
"include\agentic_text_edit.h","31","Q_OBJECT","Q_OBJECT"
"include\ai_completion_provider.h","48","Q_OBJECT","Q_OBJECT"
"include\benchmark_menu_widget.hpp","46","Q_OBJECT","Q_OBJECT"
"include\benchmark_menu_widget.hpp","79","Q_OBJECT","Q_OBJECT"
"include\benchmark_menu_widget.hpp","108","Q_OBJECT","Q_OBJECT"
"include\benchmark_menu_widget.hpp","134","Q_OBJECT","Q_OBJECT"
"include\benchmark_runner.hpp","43","Q_OBJECT","Q_OBJECT"
"include\chat_interface.h","20","Q_OBJECT","Q_OBJECT"
"include\chat_workspace.h","7","Q_OBJECT","Q_OBJECT"
"include\checkpoint_manager.h","28","Q_OBJECT","Q_OBJECT"
"include\ci_cd_settings.h","33","Q_OBJECT","Q_OBJECT"
"include\distributed_trainer.h","55","Q_OBJECT","Q_OBJECT"
"include\enhanced_model_loader.h","26","Q_OBJECT","Q_OBJECT"
"include\extension_panel.h","15","Q_OBJECT","Q_OBJECT"
"include\file_browser.h","11","Q_OBJECT","Q_OBJECT"
"include\ghost_text_renderer.h","58","Q_OBJECT","Q_OBJECT"
"include\hardware_backend_selector.h","31","Q_OBJECT","Q_OBJECT"
"include\inference_engine_stub.hpp","21","Q_OBJECT","Q_OBJECT"
"include\interpretability_panel.h","39","Q_OBJECT","Q_OBJECT"
"include\lsp_client.h","71","Q_OBJECT","Q_OBJECT"
"include\mainwindow_qt_original.h","15","Q_OBJECT","Q_OBJECT"
"include\memory_space_manager.h","12","Q_OBJECT","Q_OBJECT"
"include\model_registry.h","50","Q_OBJECT","Q_OBJECT"
"include\model_trainer.h","39","Q_OBJECT","Q_OBJECT"
"include\multi_file_search.h","79","Q_OBJECT","Q_OBJECT"
"include\multi_tab_editor.h","16","Q_OBJECT","Q_OBJECT"
"include\observability_dashboard.h","34","Q_OBJECT","Q_OBJECT"
"include\ollama_proxy.h","22","Q_OBJECT","Q_OBJECT"
"include\plan_orchestrator.h","74","Q_OBJECT","Q_OBJECT"
"include\planning_agent.h","17","Q_OBJECT","Q_OBJECT"
"include\production_agentic_ide.h","8","Q_OBJECT","Q_OBJECT"
"include\profiler.h","29","Q_OBJECT","Q_OBJECT"
"include\scalar_server.h","14","Q_OBJECT","Q_OBJECT"
"include\security_manager.h","32","Q_OBJECT","Q_OBJECT"
"include\settings_dialog.h","21","Q_OBJECT","Q_OBJECT"
"include\telemetry.h","34","Q_OBJECT","Q_OBJECT"
"include\terminal_pool.h","20","Q_OBJECT","Q_OBJECT"
"include\todo_dock.h","12","Q_OBJECT","Q_OBJECT"
"include\todo_manager.h","19","Q_OBJECT","Q_OBJECT"
"include\training_dialog.h","29","Q_OBJECT","Q_OBJECT"
"include\training_progress_dock.h","29","Q_OBJECT","Q_OBJECT"
"include\transformer_block_scalar.h","9","Q_OBJECT","Q_OBJECT"
"include\zero_day_agentic_engine.hpp","22","Q_OBJECT","Q_OBJECT"
"src\agent\self_code.cpp","75","Q_PROPERTY","bool needMoc = h.contains(""Q_OBJECT"") || h.contains(""Q_PROPERTY"") ||"
"src\qtapp\inference_engine.hpp","21","Q_PROPERTY","Q_PROPERTY(QString modelPath READ modelPath CONSTANT)"
"src\qtapp\inference_engine.hpp","22","Q_PROPERTY","Q_PROPERTY(bool modelLoaded READ isModelLoaded NOTIFY modelLoadedChanged)"
"src\qtapp\inference_engine.hpp","23","Q_PROPERTY","Q_PROPERTY(QString quantMode READ quantMode WRITE setQuantMode NOTIFY quantChanged)"
"src\qtapp\compliance_logger_TEST2.hpp","10","Q_ENUM","Q_ENUM(LogLevel)"
"src\qtapp\security_manager.h","48","Q_ENUM","Q_ENUM(AccessLevel)"
"include\security_manager.h","48","Q_ENUM","Q_ENUM(AccessLevel)"
"src\qtapp\agentic_copilot_bridge.h","79","Q_INVOKABLE","Q_INVOKABLE void showResponse(const QString& response);"
"src\qtapp\agentic_copilot_bridge.h","80","Q_INVOKABLE","Q_INVOKABLE void displayMessage(const QString& message);"
"src\qtapp\inference_engine.hpp","45","Q_INVOKABLE","* This is declared Q_INVOKABLE so it can be called via"
"src\qtapp\inference_engine.hpp","48","Q_INVOKABLE","Q_INVOKABLE bool loadModel(const QString& path);"
"src\agentic_copilot_bridge.h","79","Q_INVOKABLE","Q_INVOKABLE void showResponse(const QString& response);"
"src\agentic_copilot_bridge.h","80","Q_INVOKABLE","Q_INVOKABLE void displayMessage(const QString& message);"
"include\agentic_copilot_bridge.h","79","Q_INVOKABLE","Q_INVOKABLE void showResponse(const QString& response);"
"include\agentic_copilot_bridge.h","80","Q_INVOKABLE","Q_INVOKABLE void displayMessage(const QString& message);"
"include\ollama_proxy.h","36","Q_INVOKABLE","Q_INVOKABLE void generateResponse(const QString& prompt,"
"src\agent\action_executor.cpp","11","#include.*<Q","#include <QFile>"
"src\agent\action_executor.cpp","12","#include.*<Q","#include <QDir>"
"src\agent\action_executor.cpp","13","#include.*<Q","#include <QFileInfo>"
"src\agent\action_executor.cpp","14","#include.*<Q","#include <QProcess>"
"src\agent\action_executor.cpp","15","#include.*<Q","#include <QStandardPaths>"
"src\agent\action_executor.cpp","16","#include.*<Q","#include <QDateTime>"
"src\agent\action_executor.cpp","17","#include.*<Q","#include <QJsonDocument>"
"src\agent\action_executor.cpp","18","#include.*<Q","#include <QDebug>"
"src\agent\action_executor.cpp","19","#include.*<Q","#include <QTimer>"
"src\agent\action_executor.cpp","20","#include.*<Q","#include <QtConcurrent>"
"src\agent\action_executor.cpp","21","#include.*<Q","#include <QFuture>"
"src\agent\action_executor.hpp","16","#include.*<Q","#include <QObject>"
"src\agent\action_executor.hpp","17","#include.*<Q","#include <QString>"
"src\agent\action_executor.hpp","18","#include.*<Q","#include <QJsonObject>"
