╔══════════════════════════════════════════════════════════════════╗
║         RawrXD-Shell — Production Readiness Report              ║
╚══════════════════════════════════════════════════════════════════╝

Generated: 2026-02-10 01:03:55

── Summary ─────────────────────────────────────────────────────
  Total Features:     279
  Complete:           0
  Partial:            279
  Stub:               0
  Untested:           0
  Broken:             0
  Deprecated:         0
  Menu Wired:         0 / 279
  Stubs Detected:     0
  Runtime Tests OK:   0

  Completion: [░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░] 0.0%

── By Category ──────────────────────────────────────────────────
  Core            0/11 complete
  AI              0/88 complete
  Editor          0/23 complete
  Debugger        0/47 complete
  Network         0/22 complete
  Security        0/15 complete
  Hotpatch        0/17 complete
  UI              0/25 complete
  PDB             0/6 complete
  Swarm           0/25 complete

── Feature Details ──────────────────────────────────────────────
Feature                         Category      Status      Phase     Menu   Stub   Test   
Terminal: Split Vertical        Core          Partial     —       NO     OK     —    
Terminal: Split Code            Core          Partial     —       NO     OK     —    
Agent: Start Loop               AI            Partial     —       NO     OK     —    
Agent: Execute Command          AI            Partial     —       NO     OK     —    
Agent: Configure Model          AI            Partial     —       NO     OK     —    
Agent: View Tools               AI            Partial     —       NO     OK     —    
Agent: View Status              AI            Partial     —       NO     OK     —    
Agent: Stop                     AI            Partial     —       NO     OK     —    
Agent: Memory                   AI            Partial     —       NO     OK     —    
Agent: Memory View              AI            Partial     —       NO     OK     —    
Agent: Memory Clear             AI            Partial     —       NO     OK     —    
Agent: Memory Export            AI            Partial     —       NO     OK     —    
SubAgent: Chain                 AI            Partial     —       NO     OK     —    
SubAgent: Swarm                 AI            Partial     —       NO     OK     —    
SubAgent: TODO List             AI            Partial     —       NO     OK     —    
SubAgent: TODO Clear            AI            Partial     —       NO     OK     —    
SubAgent: Status                AI            Partial     —       NO     OK     —    
Autonomy: Toggle                AI            Partial     —       NO     OK     —    
Autonomy: Start                 AI            Partial     —       NO     OK     —    
Autonomy: Stop                  AI            Partial     —       NO     OK     —    
Autonomy: Set Goal              AI            Partial     —       NO     OK     —    
Autonomy: Status                AI            Partial     —       NO     OK     —    
Autonomy: Memory                AI            Partial     —       NO     OK     —    
AI Mode: Max                    AI            Partial     —       NO     OK     —    
AI Mode: Deep Think             AI            Partial     —       NO     OK     —    
AI Mode: Deep Research          AI            Partial     —       NO     OK     —    
AI Mode: No Refusal             AI            Partial     —       NO     OK     —    
Context: 4K                     AI            Partial     —       NO     OK     —    
Context: 32K                    AI            Partial     —       NO     OK     —    
Context: 64K                    AI            Partial     —       NO     OK     —    
Context: 128K                   AI            Partial     —       NO     OK     —    
Context: 256K                   AI            Partial     —       NO     OK     —    
Context: 512K                   AI            Partial     —       NO     OK     —    
Context: 1M                     AI            Partial     —       NO     OK     —    
RevEng: Analyze                 Debugger      Partial     —       NO     OK     —    
RevEng: Disassemble             Debugger      Partial     —       NO     OK     —    
RevEng: DumpBin                 Debugger      Partial     —       NO     OK     —    
RevEng: Compile                 Debugger      Partial     —       NO     OK     —    
RevEng: Compare                 Debugger      Partial     —       NO     OK     —    
RevEng: Detect Vulns            Security      Partial     —       NO     OK     —    
RevEng: Export IDA              Debugger      Partial     —       NO     OK     —    
RevEng: Export Ghidra           Debugger      Partial     —       NO     OK     —    
RevEng: CFG                     Debugger      Partial     —       NO     OK     —    
RevEng: Functions               Debugger      Partial     —       NO     OK     —    
RevEng: Demangle                Debugger      Partial     —       NO     OK     —    
RevEng: SSA                     Debugger      Partial     —       NO     OK     —    
RevEng: Recursive Disasm        Debugger      Partial     —       NO     OK     —    
RevEng: Type Recovery           Debugger      Partial     —       NO     OK     —    
RevEng: Data Flow               Debugger      Partial     —       NO     OK     —    
RevEng: License Info            Debugger      Partial     —       NO     OK     —    
RevEng: Decompiler View         Debugger      Partial     —       NO     OK     —    
RevEng: Decomp Rename           Debugger      Partial     —       NO     OK     —    
RevEng: Decomp Sync             Debugger      Partial     —       NO     OK     —    
RevEng: Decomp Close            Debugger      Partial     —       NO     OK     —    
Backend: Switch Local           AI            Partial     —       NO     OK     —    
Backend: Switch Ollama          AI            Partial     —       NO     OK     —    
Backend: Switch OpenAI          AI            Partial     —       NO     OK     —    
Backend: Switch Claude          AI            Partial     —       NO     OK     —    
Backend: Switch Gemini          AI            Partial     —       NO     OK     —    
Backend: Show Status            AI            Partial     —       NO     OK     —    
Backend: Show Switcher          AI            Partial     —       NO     OK     —    
Backend: Configure              AI            Partial     —       NO     OK     —    
Backend: Health Check           AI            Partial     —       NO     OK     —    
Backend: Set API Key            AI            Partial     —       NO     OK     —    
Backend: Save Configs           AI            Partial     —       NO     OK     —    
Router: Enable                  AI            Partial     —       NO     OK     —    
Router: Disable                 AI            Partial     —       NO     OK     —    
Router: Show Status             AI            Partial     —       NO     OK     —    
Router: Show Decision           AI            Partial     —       NO     OK     —    
Router: Set Policy              AI            Partial     —       NO     OK     —    
Router: Capabilities            AI            Partial     —       NO     OK     —    
Router: Fallbacks               AI            Partial     —       NO     OK     —    
Router: Save Config             AI            Partial     —       NO     OK     —    
Router: Route Prompt            AI            Partial     —       NO     OK     —    
Router: Reset Stats             AI            Partial     —       NO     OK     —    
LSP: Start All                  Network       Partial     —       NO     OK     —    
LSP: Stop All                   Network       Partial     —       NO     OK     —    
LSP: Show Status                Network       Partial     —       NO     OK     —    
LSP: Goto Definition            Network       Partial     —       NO     OK     —    
LSP: Find References            Network       Partial     —       NO     OK     —    
LSP: Rename Symbol              Network       Partial     —       NO     OK     —    
LSP: Hover Info                 Network       Partial     —       NO     OK     —    
LSP: Show Diagnostics           Network       Partial     —       NO     OK     —    
LSP: Restart Server             Network       Partial     —       NO     OK     —    
LSP: Clear Diagnostics          Network       Partial     —       NO     OK     —    
LSP: Show Symbol Info           Network       Partial     —       NO     OK     —    
LSP: Configure                  Network       Partial     —       NO     OK     —    
LSP: Save Config                Network       Partial     —       NO     OK     —    
Router: Why Backend             AI            Partial     —       NO     OK     —    
Router: Pin Task                AI            Partial     —       NO     OK     —    
Router: Unpin Task              AI            Partial     —       NO     OK     —    
Router: Show Pins               AI            Partial     —       NO     OK     —    
Router: Show Heatmap            AI            Partial     —       NO     OK     —    
Router: Ensemble Enable         AI            Partial     —       NO     OK     —    
Router: Ensemble Disable        AI            Partial     —       NO     OK     —    
Router: Ensemble Status         AI            Partial     —       NO     OK     —    
Router: Simulate                AI            Partial     —       NO     OK     —    
Router: Simulate Last           AI            Partial     —       NO     OK     —    
Router: Cost Stats              AI            Partial     —       NO     OK     —    
ASM: Parse Symbols              Editor        Partial     —       NO     OK     —    
ASM: Goto Label                 Editor        Partial     —       NO     OK     —    
ASM: Find Label Refs            Editor        Partial     —       NO     OK     —    
ASM: Show Symbol Table          Editor        Partial     —       NO     OK     —    
ASM: Instruction Info           Editor        Partial     —       NO     OK     —    
ASM: Register Info              Editor        Partial     —       NO     OK     —    
ASM: Analyze Block              Editor        Partial     —       NO     OK     —    
ASM: Show Call Graph            Editor        Partial     —       NO     OK     —    
ASM: Show Data Flow             Editor        Partial     —       NO     OK     —    
ASM: Detect Convention          Editor        Partial     —       NO     OK     —    
ASM: Show Sections              Editor        Partial     —       NO     OK     —    
ASM: Clear Symbols              Editor        Partial     —       NO     OK     —    
Hybrid: Complete                AI            Partial     —       NO     OK     —    
Hybrid: Diagnostics             AI            Partial     —       NO     OK     —    
Hybrid: Smart Rename            AI            Partial     —       NO     OK     —    
Hybrid: Analyze File            AI            Partial     —       NO     OK     —    
Hybrid: Auto Profile            AI            Partial     —       NO     OK     —    
Hybrid: Status                  AI            Partial     —       NO     OK     —    
Hybrid: Symbol Usage            AI            Partial     —       NO     OK     —    
Hybrid: Explain Symbol          AI            Partial     —       NO     OK     —    
Hybrid: Annotate Diag           AI            Partial     —       NO     OK     —    
Hybrid: Stream Analyze          AI            Partial     —       NO     OK     —    
Hybrid: Semantic Prefetch       AI            Partial     —       NO     OK     —    
Hybrid: Correction Loop         AI            Partial     —       NO     OK     —    
MultiResp: Generate             AI            Partial     —       NO     OK     —    
MultiResp: Set Max              AI            Partial     —       NO     OK     —    
MultiResp: Select Preferred     AI            Partial     —       NO     OK     —    
MultiResp: Compare              AI            Partial     —       NO     OK     —    
MultiResp: Show Stats           AI            Partial     —       NO     OK     —    
MultiResp: Show Templates       AI            Partial     —       NO     OK     —    
MultiResp: Toggle Template      AI            Partial     —       NO     OK     —    
MultiResp: Show Prefs           AI            Partial     —       NO     OK     —    
MultiResp: Show Latest          AI            Partial     —       NO     OK     —    
MultiResp: Show Status          AI            Partial     —       NO     OK     —    
MultiResp: Clear History        AI            Partial     —       NO     OK     —    
MultiResp: Apply Preferred      AI            Partial     —       NO     OK     —    
Governance: Status              Security      Partial     —       NO     OK     —    
Governance: Submit Command      Security      Partial     —       NO     OK     —    
Governance: Kill All            Security      Partial     —       NO     OK     —    
Governance: Task List           Security      Partial     —       NO     OK     —    
Safety: Status                  Security      Partial     —       NO     OK     —    
Safety: Reset Budget            Security      Partial     —       NO     OK     —    
Safety: Rollback Last           Security      Partial     —       NO     OK     —    
Safety: Show Violations         Security      Partial     —       NO     OK     —    
Replay: Status                  Security      Partial     —       NO     OK     —    
Replay: Show Last               Security      Partial     —       NO     OK     —    
Replay: Export Session          Security      Partial     —       NO     OK     —    
Replay: Checkpoint              Security      Partial     —       NO     OK     —    
Confidence: Status              Security      Partial     —       NO     OK     —    
Confidence: Set Policy          Security      Partial     —       NO     OK     —    
Swarm: Status                   Swarm         Partial     —       NO     OK     —    
Swarm: Start Leader             Swarm         Partial     —       NO     OK     —    
Swarm: Start Worker             Swarm         Partial     —       NO     OK     —    
Swarm: Start Hybrid             Swarm         Partial     —       NO     OK     —    
Swarm: Stop                     Swarm         Partial     —       NO     OK     —    
Swarm: List Nodes               Swarm         Partial     —       NO     OK     —    
Swarm: Add Node                 Swarm         Partial     —       NO     OK     —    
Swarm: Remove Node              Swarm         Partial     —       NO     OK     —    
Swarm: Blacklist Node           Swarm         Partial     —       NO     OK     —    
Swarm: Build Sources            Swarm         Partial     —       NO     OK     —    
Swarm: Build CMake              Swarm         Partial     —       NO     OK     —    
Swarm: Start Build              Swarm         Partial     —       NO     OK     —    
Swarm: Cancel Build             Swarm         Partial     —       NO     OK     —    
Swarm: Cache Status             Swarm         Partial     —       NO     OK     —    
Swarm: Cache Clear              Swarm         Partial     —       NO     OK     —    
Swarm: Show Config              Swarm         Partial     —       NO     OK     —    
Swarm: Toggle Discovery         Swarm         Partial     —       NO     OK     —    
Swarm: Show Task Graph          Swarm         Partial     —       NO     OK     —    
Swarm: Show Events              Swarm         Partial     —       NO     OK     —    
Swarm: Show Stats               Swarm         Partial     —       NO     OK     —    
Swarm: Reset Stats              Swarm         Partial     —       NO     OK     —    
Swarm: Worker Status            Swarm         Partial     —       NO     OK     —    
Swarm: Worker Connect           Swarm         Partial     —       NO     OK     —    
Swarm: Worker Disconnect        Swarm         Partial     —       NO     OK     —    
Swarm: Fitness Test             Swarm         Partial     —       NO     OK     —    
Debugger: Launch                Debugger      Partial     —       NO     OK     —    
Debugger: Attach                Debugger      Partial     —       NO     OK     —    
Debugger: Detach                Debugger      Partial     —       NO     OK     —    
Debugger: Go                    Debugger      Partial     —       NO     OK     —    
Debugger: Step Over             Debugger      Partial     —       NO     OK     —    
Debugger: Step Into             Debugger      Partial     —       NO     OK     —    
Debugger: Step Out              Debugger      Partial     —       NO     OK     —    
Debugger: Break                 Debugger      Partial     —       NO     OK     —    
Debugger: Kill                  Debugger      Partial     —       NO     OK     —    
Debugger: Add Breakpoint        Debugger      Partial     —       NO     OK     —    
Debugger: Remove BP             Debugger      Partial     —       NO     OK     —    
Debugger: Enable BP             Debugger      Partial     —       NO     OK     —    
Debugger: Clear All BPs         Debugger      Partial     —       NO     OK     —    
Debugger: List BPs              Debugger      Partial     —       NO     OK     —    
Debugger: Add Watch             Debugger      Partial     —       NO     OK     —    
Debugger: Remove Watch          Debugger      Partial     —       NO     OK     —    
Debugger: Registers             Debugger      Partial     —       NO     OK     —    
Debugger: Stack                 Debugger      Partial     —       NO     OK     —    
Debugger: Memory                Debugger      Partial     —       NO     OK     —    
Debugger: Disassembly           Debugger      Partial     —       NO     OK     —    
Debugger: Modules               Debugger      Partial     —       NO     OK     —    
Debugger: Threads               Debugger      Partial     —       NO     OK     —    
Debugger: Switch Thread         Debugger      Partial     —       NO     OK     —    
Debugger: Evaluate              Debugger      Partial     —       NO     OK     —    
Debugger: Set Register          Debugger      Partial     —       NO     OK     —    
Debugger: Search Memory         Debugger      Partial     —       NO     OK     —    
Debugger: Symbol Path           Debugger      Partial     —       NO     OK     —    
Debugger: Status                Debugger      Partial     —       NO     OK     —    
Hotpatch: Show Status           Hotpatch      Partial     —       NO     OK     —    
Hotpatch: Memory Apply          Hotpatch      Partial     —       NO     OK     —    
Hotpatch: Memory Revert         Hotpatch      Partial     —       NO     OK     —    
Hotpatch: Byte Apply            Hotpatch      Partial     —       NO     OK     —    
Hotpatch: Byte Search           Hotpatch      Partial     —       NO     OK     —    
Hotpatch: Server Add            Hotpatch      Partial     —       NO     OK     —    
Hotpatch: Server Remove         Hotpatch      Partial     —       NO     OK     —    
Hotpatch: Proxy Bias            Hotpatch      Partial     —       NO     OK     —    
Hotpatch: Proxy Rewrite         Hotpatch      Partial     —       NO     OK     —    
Hotpatch: Proxy Terminate       Hotpatch      Partial     —       NO     OK     —    
Hotpatch: Proxy Validate        Hotpatch      Partial     —       NO     OK     —    
Hotpatch: Preset Save           Hotpatch      Partial     —       NO     OK     —    
Hotpatch: Preset Load           Hotpatch      Partial     —       NO     OK     —    
Hotpatch: Event Log             Hotpatch      Partial     —       NO     OK     —    
Hotpatch: Reset Stats           Hotpatch      Partial     —       NO     OK     —    
Hotpatch: Toggle All            Hotpatch      Partial     —       NO     OK     —    
Hotpatch: Proxy Stats           Hotpatch      Partial     —       NO     OK     —    
Monaco: Toggle View             Editor        Partial     Phase 28  NO     OK     —    
Monaco: DevTools                Editor        Partial     Phase 28  NO     OK     —    
Monaco: Reload                  Editor        Partial     Phase 28  NO     OK     —    
Monaco: Zoom In                 Editor        Partial     Phase 28  NO     OK     —    
Monaco: Zoom Out                Editor        Partial     Phase 28  NO     OK     —    
Monaco: Sync Theme              Editor        Partial     Phase 28  NO     OK     —    
LSP Server: Start               Network       Partial     Phase 27  NO     OK     —    
LSP Server: Stop                Network       Partial     Phase 27  NO     OK     —    
LSP Server: Status              Network       Partial     Phase 27  NO     OK     —    
LSP Server: Reindex             Network       Partial     Phase 27  NO     OK     —    
LSP Server: Stats               Network       Partial     Phase 27  NO     OK     —    
LSP Server: Publish Diag        Network       Partial     Phase 27  NO     OK     —    
LSP Server: Config              Network       Partial     Phase 27  NO     OK     —    
LSP Server: Export Symbols      Network       Partial     Phase 27  NO     OK     —    
LSP Server: Launch STDIO        Network       Partial     Phase 27  NO     OK     —    
EditorEngine: RichEdit          Editor        Partial     Phase 28  NO     OK     —    
EditorEngine: WebView2          Editor        Partial     Phase 28  NO     OK     —    
EditorEngine: MonacoCore        Editor        Partial     Phase 28  NO     OK     —    
EditorEngine: Cycle             Editor        Partial     Phase 28  NO     OK     —    
EditorEngine: Status            Editor        Partial     Phase 28  NO     OK     —    
PDB: Load Symbols               PDB           Partial     Phase 29  NO     OK     —    
PDB: Fetch from Server          PDB           Partial     Phase 29  NO     OK     —    
PDB: Status                     PDB           Partial     Phase 29  NO     OK     —    
PDB: Cache Clear                PDB           Partial     Phase 29  NO     OK     —    
PDB: Enable/Disable             PDB           Partial     Phase 29  NO     OK     —    
PDB: Resolve Address            PDB           Partial     Phase 29  NO     OK     —    
Audit: Show Dashboard           Core          Partial     Phase 31  NO     OK     —    
Audit: Run Full Scan            Core          Partial     Phase 31  NO     OK     —    
Audit: Detect Stubs             Core          Partial     Phase 31  NO     OK     —    
Audit: Check Menus              Core          Partial     Phase 31  NO     OK     —    
Audit: Run Tests                Core          Partial     Phase 31  NO     OK     —    
Audit: Export Report            Core          Partial     Phase 31  NO     OK     —    
Audit: Quick Stats              Core          Partial     Phase 31  NO     OK     —    

── Warnings ─────────────────────────────────────────────────────
  (none)

╔══════════════════════════════════════════════════════════════════╗
║                      End of Report                              ║
╚══════════════════════════════════════════════════════════════════╝
